Page Name,English Text
NEW - Assignments List Page,Scheduled
NEW - Assignments List Page,Assignment
NEW - Assignments List Page,Quiz
NEW - Assignments List Page,Project
NEW - Assignments List Page,Not set
NEW - Create/Edit Assignment Wizard (teacher-to-student),Loading...
NEW - Create/Edit Assignment Wizard (teacher-to-student),Create new assignment
NEW - Create/Edit Assignment Wizard (teacher-to-student),Step
NEW - Create/Edit Assignment Wizard (teacher-to-student),Step 1 of 4: Add title and instructions
NEW - Create/Edit Assignment Wizard (teacher-to-student),Step 2 of 4: Add content
NEW - Create/Edit Assignment Wizard (teacher-to-student),Step 3 of 4: Add assignment details
NEW - Create/Edit Assignment Wizard (teacher-to-student),Step 4 of 4: Assign and publish
NEW - Create/Edit Assignment Wizard (teacher-to-student),Done
NEW - Create/Edit Assignment Wizard (teacher-to-student),Add content item/sequence
NEW - Create/Edit Assignment Wizard (teacher-to-student),Drag and drop item from the explore page or create new ones
NEW - Create/Edit Assignment Wizard (teacher-to-student),e.g. Mathematics Quiz - Fractions
NEW - Create/Edit Assignment Wizard (teacher-to-student),Instructions
NEW - Create/Edit Assignment Wizard (teacher-to-student),Provide detailed instructions for students
NEW - Create/Edit Assignment Wizard (teacher-to-student),Due date (Optional)
NEW - Create/Edit Assignment Wizard (teacher-to-student),Due time (Optional)
NEW - Create/Edit Assignment Wizard (teacher-to-student),Current item/sequence
NEW - Create/Edit Assignment Wizard (teacher-to-student),Preview
NEW - Create/Edit Assignment Wizard (teacher-to-student),No items added yet
NEW - Create/Edit Assignment Wizard (teacher-to-student),Allow late submissions
NEW - Create/Edit Assignment Wizard (teacher-to-student),Students can submit after due date
NEW - Create/Edit Assignment Wizard (teacher-to-student),Maximum attempts
NEW - Create/Edit Assignment Wizard (teacher-to-student),1 attempt
NEW - Create/Edit Assignment Wizard (teacher-to-student),2 attempts
NEW - Create/Edit Assignment Wizard (teacher-to-student),3 attempts
NEW - Create/Edit Assignment Wizard (teacher-to-student),Unlimited
NEW - Create/Edit Assignment Wizard (teacher-to-student),Feedback timing
NEW - Create/Edit Assignment Wizard (teacher-to-student),At the end
NEW - Create/Edit Assignment Wizard (teacher-to-student),After each question
NEW - Create/Edit Assignment Wizard (teacher-to-student),Never
NEW - Create/Edit Assignment Wizard (teacher-to-student),Shuffle questions
NEW - Create/Edit Assignment Wizard (teacher-to-student),Randomize question order for each student
NEW - Create/Edit Assignment Wizard (teacher-to-student),Show correct answers
NEW - Create/Edit Assignment Wizard (teacher-to-student),Display correct answers after submission
NEW - Create/Edit Assignment Wizard (teacher-to-student),Teacher notes (private)
NEW - Create/Edit Assignment Wizard (teacher-to-student),Add private notes for your reference...
NEW - Create/Edit Assignment Wizard (teacher-to-student),Assign to
NEW - Create/Edit Assignment Wizard (teacher-to-student),Search group(s)
NEW - Create/Edit Assignment Wizard (teacher-to-student),No groups found
NEW - Create/Edit Assignment Wizard (teacher-to-student),Distribution options
NEW - Create/Edit Assignment Wizard (teacher-to-student),Publish immediately
NEW - Create/Edit Assignment Wizard (teacher-to-student),Students can start working right away
NEW - Create/Edit Assignment Wizard (teacher-to-student),Schedule for later
NEW - Create/Edit Assignment Wizard (teacher-to-student),Set a specific date and time to publish
NEW - Create/Edit Assignment Wizard (teacher-to-student),Save as draft
NEW - Create/Edit Assignment Wizard (teacher-to-student),Keep working on it before publishing
NEW - Create/Edit Assignment Wizard (teacher-to-student),Create assignment
NEW - View Assignment Details Modal,Complete information about
NEW - View Assignment Details Modal,Assignment information
NEW - View Assignment Details Modal,Title
NEW - View Assignment Details Modal,No instructions provided
NEW - View Assignment Details Modal,Assignment settings
NEW - View Assignment Details Modal,Feedback timings
NEW - View Assignment Details Modal,Late submissions
NEW - View Assignment Details Modal,Allowed
NEW - View Assignment Details Modal,Not allowed
NEW - View Assignment Details Modal,Yes
NEW - View Assignment Details Modal,No
NEW - View Assignment Details Modal,Assignment group & students
NEW - View Assignment Details Modal,No groups assigned
NEW - View Assignment Details Modal,Content items
NEW - View Assignment Details Modal,No content items added
NEW - View Assignment Details Modal,Error loading assignment
NEW - View Submissions Page,Points
NEW - View Submissions Page,Score
NEW - View Submissions Page,Questions
NEW - View Submissions Page,Student
NEW - View Submissions Page,Point
NEW - View Submissions Page,Loading question...
NEW - View Submissions Page,Result
NEW - View Submissions Page,Correct
NEW - View Submissions Page,Incorrect
NEW - View Submissions Page,Not answered
NEW - View Submissions Page,Feedback for this question
NEW - View Submissions Page,Provide specific feedback for this item...
NEW - View Submissions Page,This feedback will be shown to the student alongside their response
NEW - View Submissions Page,Overview
NEW - View Submissions Page,Details
NEW - View Submissions Page,Assignment overview
NEW - View Submissions Page,Answered
NEW - View Submissions Page,Total items
NEW - View Submissions Page,Partial
NEW - View Submissions Page,Skipped
NEW - View Submissions Page,Overall grade
NEW - View Submissions Page,Score(%)
NEW - View Submissions Page,Enter score out of 100
NEW - View Submissions Page,Overall feedback
NEW - View Submissions Page,Provide overall feedback for the student...
NEW - View Submissions Page,This feedback will be visible to the student
NEW - View Submissions Page,Teacher notes
NEW - View Submissions Page,Private notes
NEW - View Submissions Page,Add private notes for your references...
NEW - View Submissions Page,Submission details
NEW - View Submissions Page,Email
NEW - View Submissions Page,Grade
NEW - View Submissions Page,Submitted
NEW - View Submissions Page,Time Spent
NEW - View Submissions Page,Attempts
NEW - View Submissions Page,Completion
NEW - View Submissions Page,Auto Save
NEW - View Submissions Page,Save Draft
NEW - View Submissions Page,Mark as Graded
NEW - View Submissions Page,Not started
NEW - View Submissions Page,In Progress
NEW - Pagination & Admin Page,Page
NEW - Pagination & Admin Page,All
NEW - Pagination & Admin Page,Archived
NEW - Add Student Modal,Add students
NEW - Add Student Modal,Choose how you would like to add students
NEW - Add Student Modal,Create individual account
NEW - Add Student Modal,Manually create a single student account
NEW - Add Student Modal,Create bulk accounts
NEW - Add Student Modal,Upload CSV or manually enter multiple students
NEW - Add Student Modal,Link via SSO
NEW - Add Student Modal,Connect existing accounts from Google or Microsoft
NEW - Add Student Modal,Link student to you
NEW - Add Student Modal,Coming soon
NEW - Explore Card,Expert content
NEW - Archive Confirmation,Are you sure you want to archive this student account?
NEW - Archive Confirmation,Archive students to remove them from active lists while preserving data.
